poi_id,name,type,city,source_image_url
28,吉野家(动物园店),美食,北京,https://img.meituan.net/content/c4907e3664d418f0acf186fa1ac24155966281.png%40300w_1e_1l%7Cwatermark%3D0
29,念母恩饺子家常菜,美食,北京,https://img.meituan.net/content/2f45da7f4ce74c4b21c80fe3930fb0cc70128.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
30,罗二火锅(北京首店),美食,北京,http://p0.meituan.net/biztone/926600924_1710991639808.jpeg%40300w_1e_1l%7Cwatermark%3D0
31,星巴克(北京王府井店),美食,北京,http://p0.meituan.net/biztone/812559789_1711706147132.jpeg%40300w_1e_1l%7Cwatermark%3D0
32,星巴克(北京东直门来福士一店),美食,北京,http://p1.meituan.net/biztone/812559789_1709691232120.jpeg%40300w_1e_1l%7Cwatermark%3D0
33,祈年红自在书房,美食,北京,http://p0.meituan.net/merchant/a030ffe2f4154ef4eb99981b6905089b187538.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
34,奈雪的茶(北京东方新天地店),美食,北京,https://img.meituan.net/content/5d619d061441c2889f7afb4450f1346d605724.png%40300w_1e_1l%7Cwatermark%3D0
35,糖房咖啡(故宫店),美食,北京,http://p0.meituan.net/merchant/eba26e647e41f73286ca10093b959863171674.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
36,DQ·蛋糕·冰淇淋(东直门店),美食,北京,http://p0.meituan.net/merchant/d0ec6e4d4bf18c119bb2da761a0a9f37193558.jpg%40750w_1e_1l%7Cwatermark%3D0
37,小誠伊·新中式茶饮料(第1档口一锅美食城店),美食,北京,http://p0.meituan.net/poipicadd/5213bd1f12d8cfeb396a7b3942cf644b581934.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
38,雪铺咖啡SNOWSHOP(东四十条店),美食,北京,http://p0.meituan.net/merchant/703dd949c2c34a413f0b910d63fff39151693.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
39,BelloCasa Cafe&Pizza Tagilo,美食,北京,http://p1.meituan.net/merchant/b788990dfa42767fbb561126d933d006389383.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
40,LUCKY HOUSE吉屋咖啡,美食,北京,http://p0.meituan.net/merchant/518f9bb76c6e7515f6358534acd4579552069.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
41,Creeper Coffee(金融街店),美食,北京,http://p0.meituan.net/merchant/76860336ed1acef79af0b00d810e1a50108230.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
